 	\u0020	alt-032	SPACE
ъ	\u044A	alt-01098	CYRILLIC SMALL LETTER HARD SIGN
ы	\u044B	alt-01099	CYRILLIC SMALL LETTER YERU
ь	\u044C	alt-01100	CYRILLIC SMALL LETTER SOFT SIGN
э	\u044D	alt-01101	CYRILLIC SMALL LETTER E
ю	\u044E	alt-01102	CYRILLIC SMALL LETTER YU
я	\u044F	alt-01103	CYRILLIC SMALL LETTER YA
Latin letters

ᴀ	\u1D00	alt-07424	LATIN LETTER SMALL CAPITAL A
ᴁ	\u1D01	alt-07425	LATIN LETTER SMALL CAPITAL AE
ᴂ	\u1D02	alt-07426	LATIN SMALL LETTER TURNED AE
ᴃ	\u1D03	alt-07427	LATIN LETTER SMALL CAPITAL BARRED B
ᴄ	\u1D04	alt-07428	LATIN LETTER SMALL CAPITAL C
ᴅ	\u1D05	alt-07429	LATIN LETTER SMALL CAPITAL D
ᴆ	\u1D06	alt-07430	LATIN LETTER SMALL CAPITAL ETH
ᴇ	\u1D07	alt-07431	LATIN LETTER SMALL CAPITAL E
ᴈ	\u1D08	alt-07432	LATIN SMALL LETTER TURNED OPEN E
ᴉ	\u1D09	alt-07433	LATIN SMALL LETTER TURNED I
ᴊ	\u1D0A	alt-07434	LATIN LETTER SMALL CAPITAL J
ᴋ	\u1D0B	alt-07435	LATIN LETTER SMALL CAPITAL K
ᴌ	\u1D0C	alt-07436	LATIN LETTER SMALL CAPITAL L WITH STROKE
ᴍ	\u1D0D	alt-07437	LATIN LETTER SMALL CAPITAL M
ᴎ	\u1D0E	alt-07438	LATIN LETTER SMALL CAPITAL REVERSED N
ᴏ	\u1D0F	alt-07439	LATIN LETTER SMALL CAPITAL O
ᴐ	\u1D10	alt-07440	LATIN LETTER SMALL CAPITAL OPEN O
ᴑ	\u1D11	alt-07441	LATIN SMALL LETTER SIDEWAYS O
ᴒ	\u1D12	alt-07442	LATIN SMALL LETTER SIDEWAYS OPEN O
ᴓ	\u1D13	alt-07443	LATIN SMALL LETTER SIDEWAYS O WITH STROKE
ᴔ	\u1D14	alt-07444	LATIN SMALL LETTER TURNED OE
ᴕ	\u1D15	alt-07445	LATIN LETTER SMALL CAPITAL OU
ᴖ	\u1D16	alt-07446	LATIN SMALL LETTER TOP HALF O
ᴗ	\u1D17	alt-07447	LATIN SMALL LETTER BOTTOM HALF O
ᴘ	\u1D18	alt-07448	LATIN LETTER SMALL CAPITAL P
ᴙ	\u1D19	alt-07449	LATIN LETTER SMALL CAPITAL REVERSED R
ᴚ	\u1D1A	alt-07450	LATIN LETTER SMALL CAPITAL TURNED R
ᴛ	\u1D1B	alt-07451	LATIN LETTER SMALL CAPITAL T
ᴜ	\u1D1C	alt-07452	LATIN LETTER SMALL CAPITAL U
ᴝ	\u1D1D	alt-07453	LATIN SMALL LETTER SIDEWAYS U
ᴞ	\u1D1E	alt-07454	LATIN SMALL LETTER SIDEWAYS DIAERESIZED U
ᴟ	\u1D1F	alt-07455	LATIN SMALL LETTER SIDEWAYS TURNED M
ᴠ	\u1D20	alt-07456	LATIN LETTER SMALL CAPITAL V
ᴡ	\u1D21	alt-07457	LATIN LETTER SMALL CAPITAL W
ᴢ	\u1D22	alt-07458	LATIN LETTER SMALL CAPITAL Z
ᴣ	\u1D23	alt-07459	LATIN LETTER SMALL CAPITAL EZH
ᴤ	\u1D24	alt-07460	LATIN LETTER VOICED LARYNGEAL SPIRANT
ᴥ	\u1D25	alt-07461	LATIN LETTER AIN
Greek letters

ᴦ	\u1D26	alt-07462	GREEK LETTER SMALL CAPITAL GAMMA
ᴧ	\u1D27	alt-07463	GREEK LETTER SMALL CAPITAL LAMDA
ᴨ	\u1D28	alt-07464	GREEK LETTER SMALL CAPITAL PI
ᴩ	\u1D29	alt-07465	GREEK LETTER SMALL CAPITAL RHO
ᴪ	\u1D2A	alt-07466	GREEK LETTER SMALL CAPITAL PSI
Addition for German typography

ẞ	\u1E9E	alt-07838	LATIN CAPITAL LETTER SHARP S
Latin general extensions

Ỳ	\u1EF2	alt-07922	LATIN CAPITAL LETTER Y WITH GRAVE
ỳ	\u1EF3	alt-07923	LATIN SMALL LETTER Y WITH GRAVE
Ỵ	\u1EF4	alt-07924	LATIN CAPITAL LETTER Y WITH DOT BELOW
ỵ	\u1EF5	alt-07925	LATIN SMALL LETTER Y WITH DOT BELOW
Ỹ	\u1EF8	alt-07928	LATIN CAPITAL LETTER Y WITH TILDE
ỹ	\u1EF9	alt-07929	LATIN SMALL LETTER Y WITH TILDE
Dashes

‐	\u2010	alt-08208	HYPHEN
‑	\u2011	alt-08209	NON-BREAKING HYPHEN
‒	\u2012	alt-08210	FIGURE DASH
–	\u2013	alt-08211	EN DASH
—	\u2014	alt-08212	EM DASH
―	\u2015	alt-08213	HORIZONTAL BAR = quotation dash
General punctuation

‖	\u2016	alt-08214	DOUBLE VERTICAL LINE
‗	\u2017	alt-08215	DOUBLE LOW LINE
Quotation marks and apostrophe Use of quotation marks differs by language. The character names cannot reflect actual usage for all languages.

‘	\u2018	alt-08216	LEFT SINGLE QUOTATION MARK = single turned comma quotation mark
’	\u2019	alt-08217	RIGHT SINGLE QUOTATION MARK = single comma quotation mark
‚	\u201A	alt-08218	SINGLE LOW-9 QUOTATION MARK = low single comma quotation mark
‛	\u201B	alt-08219	SINGLE HIGH-REVERSED-9 QUOTATION MARK = single reversed comma quotation mark
“	\u201C	alt-08220	LEFT DOUBLE QUOTATION MARK = double turned comma quotation mark
”	\u201D	alt-08221	RIGHT DOUBLE QUOTATION MARK = double comma quotation mark
„	\u201E	alt-08222	DOUBLE LOW-9 QUOTATION MARK = low double comma quotation mark
‟	\u201F	alt-08223	DOUBLE HIGH-REVERSED-9 QUOTATION MARK = double reversed comma quotation mark
General punctuation

†	\u2020	alt-08224	DAGGER = obelisk, obelus, long cross
‡	\u2021	alt-08225	DOUBLE DAGGER = diesis, double obelisk
•	\u2022	alt-08226	BULLET = black small circle
‣	\u2023	alt-08227	TRIANGULAR BULLET
․	\u2024	alt-08228	ONE DOT LEADER
‥	\u2025	alt-08229	TWO DOT LEADER
…	\u2026	alt-08230	HORIZONTAL ELLIPSIS = three dot leader
‧	\u2027	alt-08231	HYPHENATION POINT
‰	\u2030	alt-08240	PER MILLE SIGN = permille, per thousand
‱	\u2031	alt-08241	PER TEN THOUSAND SIGN = permyriad
′	\u2032	alt-08242	PRIME = minutes, feet
″	\u2033	alt-08243	DOUBLE PRIME = seconds, inches
‴	\u2034	alt-08244	TRIPLE PRIME = lines old measure, 1/12 of an inch
‵	\u2035	alt-08245	REVERSED PRIME
‶	\u2036	alt-08246	REVERSED DOUBLE PRIME
‷	\u2037	alt-08247	REVERSED TRIPLE PRIME
‸	\u2038	alt-08248	CARET
Quotation marks

‹	\u2039	alt-08249	SINGLE LEFT-POINTING ANGLE QUOTATION MARK = left pointing single guillemet
›	\u203A	alt-08250	SINGLE RIGHT-POINTING ANGLE QUOTATION MARK = right pointing single guillemet
General punctuation

※	\u203B	alt-08251	REFERENCE MARK = Japanese kome = Urdu paragraph separator
Double punctuation for vertical text

‼	\u203C	alt-08252	DOUBLE EXCLAMATION MARK
General punctuation

‽	\u203D	alt-08253	INTERROBANG
‾	\u203E	alt-08254	OVERLINE = spacing overscore
‿	\u203F	alt-08255	UNDERTIE = Greek enotikon
⁀	\u2040	alt-08256	CHARACTER TIE = z notation sequence concatenation
⁁	\u2041	alt-08257	CARET INSERTION POINT
⁂	\u2042	alt-08258	ASTERISM
⁃	\u2043	alt-08259	HYPHEN BULLET
⁄	\u2044	alt-08260	FRACTION SLASH = solidus in typography
⁅	\u2045	alt-08261	LEFT SQUARE BRACKET WITH QUILL
⁆	\u2046	alt-08262	RIGHT SQUARE BRACKET WITH QUILL
Double punctuation for vertical text

⁇	\u2047	alt-08263	DOUBLE QUESTION MARK
⁈	\u2048	alt-08264	QUESTION EXCLAMATION MARK
⁉	\u2049	alt-08265	EXCLAMATION QUESTION MARK
General punctuation

⁊	\u204A	alt-08266	TIRONIAN SIGN ET
⁋	\u204B	alt-08267	REVERSED PILCROW SIGN
⁌	\u204C	alt-08268	BLACK LEFTWARDS BULLET
⁍	\u204D	alt-08269	BLACK RIGHTWARDS BULLET
⁎	\u204E	alt-08270	LOW ASTERISK
⁏	\u204F	alt-08271	REVERSED SEMICOLON
⁐	\u2050	alt-08272	CLOSE UP
⁑	\u2051	alt-08273	TWO ASTERISKS ALIGNED VERTICALLY
⁒	\u2052	alt-08274	COMMERCIAL MINUS SIGN = abzüglich German, med avdrag av Swedish, piska Swedish, "whip"
⁓	\u2053	alt-08275	SWUNG DASH
⁔	\u2054	alt-08276	INVERTED UNDERTIE
⁕	\u2055	alt-08277	FLOWER PUNCTUATION MARK = phul, puspika
⁗	\u2057	alt-08279	QUADRUPLE PRIME
Superscripts See also superscript Latin letters in the Spacing Modifier Letters block starting at 02B0.

⁰	\u2070	alt-08304	SUPERSCRIPT ZERO
ⁱ	\u2071	alt-08305	SUPERSCRIPT LATIN SMALL LETTER I
⁴	\u2074	alt-08308	SUPERSCRIPT FOUR
⁵	\u2075	alt-08309	SUPERSCRIPT FIVE
⁶	\u2076	alt-08310	SUPERSCRIPT SIX
⁷	\u2077	alt-08311	SUPERSCRIPT SEVEN
⁸	\u2078	alt-08312	SUPERSCRIPT EIGHT
⁹	\u2079	alt-08313	SUPERSCRIPT NINE
⁺	\u207A	alt-08314	SUPERSCRIPT PLUS SIGN
⁻	\u207B	alt-08315	SUPERSCRIPT MINUS
⁼	\u207C	alt-08316	SUPERSCRIPT EQUALS SIGN
⁽	\u207D	alt-08317	SUPERSCRIPT LEFT PARENTHESIS
⁾	\u207E	alt-08318	SUPERSCRIPT RIGHT PARENTHESIS
ⁿ	\u207F	alt-08319	SUPERSCRIPT LATIN SMALL LETTER N
Subscripts

₀	\u2080	alt-08320	SUBSCRIPT ZERO
₁	\u2081	alt-08321	SUBSCRIPT ONE
₂	\u2082	alt-08322	SUBSCRIPT TWO
₃	\u2083	alt-08323	SUBSCRIPT THREE
₄	\u2084	alt-08324	SUBSCRIPT FOUR
₅	\u2085	alt-08325	SUBSCRIPT FIVE
₆	\u2086	alt-08326	SUBSCRIPT SIX
₇	\u2087	alt-08327	SUBSCRIPT SEVEN
₈	\u2088	alt-08328	SUBSCRIPT EIGHT
₉	\u2089	alt-08329	SUBSCRIPT NINE
₊	\u208A	alt-08330	SUBSCRIPT PLUS SIGN
₋	\u208B	alt-08331	SUBSCRIPT MINUS
₌	\u208C	alt-08332	SUBSCRIPT EQUALS SIGN
₍	\u208D	alt-08333	SUBSCRIPT LEFT PARENTHESIS
₎	\u208E	alt-08334	SUBSCRIPT RIGHT PARENTHESIS
Currency symbols A number of currency symbols are found in other blocks. Fullwidth versions of some currency symbols are found in the Halfwidth and Fullwidth Forms block.

₠	\u20A0	alt-08352	EURO-CURRENCY SIGN
₡	\u20A1	alt-08353	COLON SIGN
₢	\u20A2	alt-08354	CRUZEIRO SIGN
₣	\u20A3	alt-08355	FRENCH FRANC SIGN
₤	\u20A4	alt-08356	LIRA SIGN
₥	\u20A5	alt-08357	MILL SIGN
₦	\u20A6	alt-08358	NAIRA SIGN
₧	\u20A7	alt-08359	PESETA SIGN
₨	\u20A8	alt-08360	RUPEE SIGN
₩	\u20A9	alt-08361	WON SIGN
₪	\u20AA	alt-08362	NEW SHEQEL SIGN
₫	\u20AB	alt-08363	DONG SIGN
€	\u20AC	alt-08364	EURO SIGN
₭	\u20AD	alt-08365	KIP SIGN
₮	\u20AE	alt-08366	TUGRIK SIGN
₯	\u20AF	alt-08367	DRACHMA SIGN
₰	\u20B0	alt-08368	GERMAN PENNY SIGN
₱	\u20B1	alt-08369	PESO SIGN
₲	\u20B2	alt-08370	GUARANI SIGN
₳	\u20B3	alt-08371	AUSTRAL SIGN
₴	\u20B4	alt-08372	HRYVNIA SIGN
₵	\u20B5	alt-08373	CEDI SIGN
₶	\u20B6	alt-08374	LIVRE TOURNOIS SIGN
₷	\u20B7	alt-08375	SPESMILO SIGN
₸	\u20B8	alt-08376	TENGE SIGN
₹	\u20B9	alt-08377	INDIAN RUPEE SIGN
Letterlike symbols Some of the letterlike symbols are intended to complete the set of mathematical alphanumeric symbols starting at U+1D400.

℀	\u2100	alt-08448	ACCOUNT OF
℁	\u2101	alt-08449	ADDRESSED TO THE SUBJECT
ℂ	\u2102	alt-08450	DOUBLE-STRUCK CAPITAL C = the set of complex numbers
℃	\u2103	alt-08451	DEGREE CELSIUS = degrees Centigrade
℄	\u2104	alt-08452	CENTRE LINE SYMBOL = clone
℅	\u2105	alt-08453	CARE OF
℆	\u2106	alt-08454	CADA UNA
ℇ	\u2107	alt-08455	EULER CONSTANT
℈	\u2108	alt-08456	SCRUPLE
℉	\u2109	alt-08457	DEGREE FAHRENHEIT
ℊ	\u210A	alt-08458	SCRIPT SMALL G = real number symbol
ℋ	\u210B	alt-08459	SCRIPT CAPITAL H = Hamiltonian operator
ℌ	\u210C	alt-08460	BLACK-LETTER CAPITAL H = Hilbert space
ℍ	\u210D	alt-08461	DOUBLE-STRUCK CAPITAL H
ℎ	\u210E	alt-08462	PLANCK CONSTANT = height, specific enthalpy, ...
ℏ	\u210F	alt-08463	PLANCK CONSTANT OVER TWO PI
ℐ	\u2110	alt-08464	SCRIPT CAPITAL I
ℑ	\u2111	alt-08465	BLACK-LETTER CAPITAL I = imaginary part
ℒ	\u2112	alt-08466	SCRIPT CAPITAL L = Laplace transform
ℓ	\u2113	alt-08467	SCRIPT SMALL L = mathematical symbol 'ell' = liter traditional symbol
℔	\u2114	alt-08468	L B BAR SYMBOL = pounds
ℕ	\u2115	alt-08469	DOUBLE-STRUCK CAPITAL N = natural number
№	\u2116	alt-08470	NUMERO SIGN
℗	\u2117	alt-08471	SOUND RECORDING COPYRIGHT = published = phonorecord sign
℘	\u2118	alt-08472	SCRIPT CAPITAL P
ℙ	\u2119	alt-08473	DOUBLE-STRUCK CAPITAL P
ℚ	\u211A	alt-08474	DOUBLE-STRUCK CAPITAL Q = the set of rational numbers
ℛ	\u211B	alt-08475	SCRIPT CAPITAL R = Riemann Integral
ℜ	\u211C	alt-08476	BLACK-LETTER CAPITAL R = real part
ℝ	\u211D	alt-08477	DOUBLE-STRUCK CAPITAL R = the set of real numbers
℞	\u211E	alt-08478	PRESCRIPTION TAKE = recipe = cross ratio
℟	\u211F	alt-08479	RESPONSE
℠	\u2120	alt-08480	SERVICE MARK
℡	\u2121	alt-08481	TELEPHONE SIGN
™	\u2122	alt-08482	TRADE MARK SIGN
℣	\u2123	alt-08483	VERSICLE
ℤ	\u2124	alt-08484	DOUBLE-STRUCK CAPITAL Z = the set of integers
℥	\u2125	alt-08485	OUNCE SIGN
Ω	\u2126	alt-08486	OHM SIGN
℧	\u2127	alt-08487	INVERTED OHM SIGN = mho
ℨ	\u2128	alt-08488	BLACK-LETTER CAPITAL Z
℩	\u2129	alt-08489	TURNED GREEK SMALL LETTER IOTA
K	\u212A	alt-08490	KELVIN SIGN
Å	\u212B	alt-08491	ANGSTROM SIGN
ℬ	\u212C	alt-08492	SCRIPT CAPITAL B = Bernoulli function
ℭ	\u212D	alt-08493	BLACK-LETTER CAPITAL C
℮	\u212E	alt-08494	ESTIMATED SYMBOL
ℯ	\u212F	alt-08495	SCRIPT SMALL E = error = natural exponent
ℰ	\u2130	alt-08496	SCRIPT CAPITAL E = emf electromotive force
ℱ	\u2131	alt-08497	SCRIPT CAPITAL F = Fourier transform
Ⅎ	\u2132	alt-08498	TURNED CAPITAL F = Claudian digamma inversum
ℳ	\u2133	alt-08499	SCRIPT CAPITAL M = M-matrix physics = German Mark currency symbol, before WWII
ℴ	\u2134	alt-08500	SCRIPT SMALL O = order, of inferior order to
Hebrew letterlike math symbols These are left-to-right characters.

ℵ	\u2135	alt-08501	ALEF SYMBOL = first transfinite cardinal countable
ℶ	\u2136	alt-08502	BET SYMBOL = second transfinite cardinal the continuum
ℷ	\u2137	alt-08503	GIMEL SYMBOL = third transfinite cardinal functions of a real variable
ℸ	\u2138	alt-08504	DALET SYMBOL = fourth transfinite cardinal
Additional letterlike symbols

⅁	\u2141	alt-08513	TURNED SANS-SERIF CAPITAL G = game
⅂	\u2142	alt-08514	TURNED SANS-SERIF CAPITAL L
⅃	\u2143	alt-08515	REVERSED SANS-SERIF CAPITAL L
⅄	\u2144	alt-08516	TURNED SANS-SERIF CAPITAL Y
Double-struck italic math symbols These stylized mathematical symbols are used in some documents to distinguish special mathematical usages from ordinary variables.

ⅅ	\u2145	alt-08517	DOUBLE-STRUCK ITALIC CAPITAL D
ⅆ	\u2146	alt-08518	DOUBLE-STRUCK ITALIC SMALL D
ⅇ	\u2147	alt-08519	DOUBLE-STRUCK ITALIC SMALL E
ⅈ	\u2148	alt-08520	DOUBLE-STRUCK ITALIC SMALL I
ⅉ	\u2149	alt-08521	DOUBLE-STRUCK ITALIC SMALL J
Additional letterlike symbols

⅋	\u214B	alt-08523	TURNED AMPERSAND
Lowercase Claudian letter Claudian letters in inscriptions are uppercase, but may be transcribed by scholars in lowercase.

ⅎ	\u214E	alt-08526	TURNED SMALL F
Fractions Other fraction number forms are found in the Latin-1 Supplement block.

⅐	\u2150	alt-08528	VULGAR FRACTION ONE SEVENTH
⅑	\u2151	alt-08529	VULGAR FRACTION ONE NINTH
⅒	\u2152	alt-08530	VULGAR FRACTION ONE TENTH
⅓	\u2153	alt-08531	VULGAR FRACTION ONE THIRD
⅔	\u2154	alt-08532	VULGAR FRACTION TWO THIRDS
⅕	\u2155	alt-08533	VULGAR FRACTION ONE FIFTH
⅖	\u2156	alt-08534	VULGAR FRACTION TWO FIFTHS
⅗	\u2157	alt-08535	VULGAR FRACTION THREE FIFTHS
⅘	\u2158	alt-08536	VULGAR FRACTION FOUR FIFTHS
⅙	\u2159	alt-08537	VULGAR FRACTION ONE SIXTH
⅚	\u215A	alt-08538	VULGAR FRACTION FIVE SIXTHS
⅛	\u215B	alt-08539	VULGAR FRACTION ONE EIGHTH
⅜	\u215C	alt-08540	VULGAR FRACTION THREE EIGHTHS
⅝	\u215D	alt-08541	VULGAR FRACTION FIVE EIGHTHS
⅞	\u215E	alt-08542	VULGAR FRACTION SEVEN EIGHTHS
⅟	\u215F	alt-08543	FRACTION NUMERATOR ONE
Roman numerals

Ⅰ	\u2160	alt-08544	ROMAN NUMERAL ONE
Ⅱ	\u2161	alt-08545	ROMAN NUMERAL TWO
Ⅲ	\u2162	alt-08546	ROMAN NUMERAL THREE
Ⅳ	\u2163	alt-08547	ROMAN NUMERAL FOUR
Ⅴ	\u2164	alt-08548	ROMAN NUMERAL FIVE
Ⅵ	\u2165	alt-08549	ROMAN NUMERAL SIX
Ⅶ	\u2166	alt-08550	ROMAN NUMERAL SEVEN
Ⅷ	\u2167	alt-08551	ROMAN NUMERAL EIGHT
Ⅸ	\u2168	alt-08552	ROMAN NUMERAL NINE
Ⅹ	\u2169	alt-08553	ROMAN NUMERAL TEN
Ⅺ	\u216A	alt-08554	ROMAN NUMERAL ELEVEN
Ⅻ	\u216B	alt-08555	ROMAN NUMERAL TWELVE
Ⅼ	\u216C	alt-08556	ROMAN NUMERAL FIFTY
Ⅽ	\u216D	alt-08557	ROMAN NUMERAL ONE HUNDRED
Ⅾ	\u216E	alt-08558	ROMAN NUMERAL FIVE HUNDRED
Ⅿ	\u216F	alt-08559	ROMAN NUMERAL ONE THOUSAND
ⅰ	\u2170	alt-08560	SMALL ROMAN NUMERAL ONE
ⅱ	\u2171	alt-08561	SMALL ROMAN NUMERAL TWO
ⅲ	\u2172	alt-08562	SMALL ROMAN NUMERAL THREE
ⅳ	\u2173	alt-08563	SMALL ROMAN NUMERAL FOUR
ⅴ	\u2174	alt-08564	SMALL ROMAN NUMERAL FIVE
ⅵ	\u2175	alt-08565	SMALL ROMAN NUMERAL SIX
ⅶ	\u2176	alt-08566	SMALL ROMAN NUMERAL SEVEN
ⅷ	\u2177	alt-08567	SMALL ROMAN NUMERAL EIGHT
ⅸ	\u2178	alt-08568	SMALL ROMAN NUMERAL NINE
ⅹ	\u2179	alt-08569	SMALL ROMAN NUMERAL TEN
ⅺ	\u217A	alt-08570	SMALL ROMAN NUMERAL ELEVEN
ⅻ	\u217B	alt-08571	SMALL ROMAN NUMERAL TWELVE
ⅼ	\u217C	alt-08572	SMALL ROMAN NUMERAL FIFTY
ⅽ	\u217D	alt-08573	SMALL ROMAN NUMERAL ONE HUNDRED
ⅾ	\u217E	alt-08574	SMALL ROMAN NUMERAL FIVE HUNDRED
ⅿ	\u217F	alt-08575	SMALL ROMAN NUMERAL ONE THOUSAND
Lowercase Claudian letter Claudian letters in inscriptions are uppercase, but may be transcribed by scholars in lowercase.

ↄ	\u2184	alt-08580	LATIN SMALL LETTER REVERSED C
Simple arrows

←	\u2190	alt-08592	LEFTWARDS ARROW
↑	\u2191	alt-08593	UPWARDS ARROW
→	\u2192	alt-08594	RIGHTWARDS ARROW = z notation total function
↓	\u2193	alt-08595	DOWNWARDS ARROW
↔	\u2194	alt-08596	LEFT RIGHT ARROW = z notation relation
↕	\u2195	alt-08597	UP DOWN ARROW
↖	\u2196	alt-08598	NORTH WEST ARROW
↗	\u2197	alt-08599	NORTH EAST ARROW
↘	\u2198	alt-08600	SOUTH EAST ARROW
↙	\u2199	alt-08601	SOUTH WEST ARROW
Arrows with modifications

↚	\u219A	alt-08602	LEFTWARDS ARROW WITH STROKE
↛	\u219B	alt-08603	RIGHTWARDS ARROW WITH STROKE
↜	\u219C	alt-08604	LEFTWARDS WAVE ARROW
↝	\u219D	alt-08605	RIGHTWARDS WAVE ARROW
↞	\u219E	alt-08606	LEFTWARDS TWO HEADED ARROW = fast cursor left
↟	\u219F	alt-08607	UPWARDS TWO HEADED ARROW = fast cursor up
↠	\u21A0	alt-08608	RIGHTWARDS TWO HEADED ARROW = z notation total surjection = fast cursor right
↡	\u21A1	alt-08609	DOWNWARDS TWO HEADED ARROW = form feed = fast cursor down
↢	\u21A2	alt-08610	LEFTWARDS ARROW WITH TAIL
↣	\u21A3	alt-08611	RIGHTWARDS ARROW WITH TAIL = z notation total injection
↤	\u21A4	alt-08612	LEFTWARDS ARROW FROM BAR
↥	\u21A5	alt-08613	UPWARDS ARROW FROM BAR
↦	\u21A6	alt-08614	RIGHTWARDS ARROW FROM BAR = z notation maplet
↧	\u21A7	alt-08615	DOWNWARDS ARROW FROM BAR = depth symbol
↨	\u21A8	alt-08616	UP DOWN ARROW WITH BASE
↩	\u21A9	alt-08617	LEFTWARDS ARROW WITH HOOK
↪	\u21AA	alt-08618	RIGHTWARDS ARROW WITH HOOK
↫	\u21AB	alt-08619	LEFTWARDS ARROW WITH LOOP
↬	\u21AC	alt-08620	RIGHTWARDS ARROW WITH LOOP
↭	\u21AD	alt-08621	LEFT RIGHT WAVE ARROW
↮	\u21AE	alt-08622	LEFT RIGHT ARROW WITH STROKE
↯	\u21AF	alt-08623	DOWNWARDS ZIGZAG ARROW = electrolysis
Arrows with bent tips Other arrows with bent tips to complete this set can be found in the Miscellaneous Symbols and Arrows block.

↰	\u21B0	alt-08624	UPWARDS ARROW WITH TIP LEFTWARDS
↱	\u21B1	alt-08625	UPWARDS ARROW WITH TIP RIGHTWARDS
↲	\u21B2	alt-08626	DOWNWARDS ARROW WITH TIP LEFTWARDS
↳	\u21B3	alt-08627	DOWNWARDS ARROW WITH TIP RIGHTWARDS
Keyboard symbols and circle arrows

↴	\u21B4	alt-08628	RIGHTWARDS ARROW WITH CORNER DOWNWARDS = line feed
↵	\u21B5	alt-08629	DOWNWARDS ARROW WITH CORNER LEFTWARDS
↶	\u21B6	alt-08630	ANTICLOCKWISE TOP SEMICIRCLE ARROW
↷	\u21B7	alt-08631	CLOCKWISE TOP SEMICIRCLE ARROW
↸	\u21B8	alt-08632	NORTH WEST ARROW TO LONG BAR = home
↹	\u21B9	alt-08633	LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR = tab with shift tab
↺	\u21BA	alt-08634	ANTICLOCKWISE OPEN CIRCLE ARROW
↻	\u21BB	alt-08635	CLOCKWISE OPEN CIRCLE ARROW
Harpoons

↼	\u21BC	alt-08636	LEFTWARDS HARPOON WITH BARB UPWARDS
↽	\u21BD	alt-08637	LEFTWARDS HARPOON WITH BARB DOWNWARDS
↾	\u21BE	alt-08638	UPWARDS HARPOON WITH BARB RIGHTWARDS
↿	\u21BF	alt-08639	UPWARDS HARPOON WITH BARB LEFTWARDS
⇀	\u21C0	alt-08640	RIGHTWARDS HARPOON WITH BARB UPWARDS
⇁	\u21C1	alt-08641	RIGHTWARDS HARPOON WITH BARB DOWNWARDS
⇂	\u21C2	alt-08642	DOWNWARDS HARPOON WITH BARB RIGHTWARDS
⇃	\u21C3	alt-08643	DOWNWARDS HARPOON WITH BARB LEFTWARDS
Paired arrows and harpoons

⇄	\u21C4	alt-08644	RIGHTWARDS ARROW OVER LEFTWARDS ARROW
⇅	\u21C5	alt-08645	UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW
⇆	\u21C6	alt-08646	LEFTWARDS ARROW OVER RIGHTWARDS ARROW
⇇	\u21C7	alt-08647	LEFTWARDS PAIRED ARROWS
⇈	\u21C8	alt-08648	UPWARDS PAIRED ARROWS
⇉	\u21C9	alt-08649	RIGHTWARDS PAIRED ARROWS
⇊	\u21CA	alt-08650	DOWNWARDS PAIRED ARROWS
⇋	\u21CB	alt-08651	LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON
⇌	\u21CC	alt-08652	RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON
Double arrows

⇍	\u21CD	alt-08653	LEFTWARDS DOUBLE ARROW WITH STROKE
⇎	\u21CE	alt-08654	LEFT RIGHT DOUBLE ARROW WITH STROKE
⇏	\u21CF	alt-08655	RIGHTWARDS DOUBLE ARROW WITH STROKE
⇐	\u21D0	alt-08656	LEFTWARDS DOUBLE ARROW
⇑	\u21D1	alt-08657	UPWARDS DOUBLE ARROW
⇒	\u21D2	alt-08658	RIGHTWARDS DOUBLE ARROW
⇓	\u21D3	alt-08659	DOWNWARDS DOUBLE ARROW
⇔	\u21D4	alt-08660	LEFT RIGHT DOUBLE ARROW
⇕	\u21D5	alt-08661	UP DOWN DOUBLE ARROW
⇖	\u21D6	alt-08662	NORTH WEST DOUBLE ARROW
⇗	\u21D7	alt-08663	NORTH EAST DOUBLE ARROW
⇘	\u21D8	alt-08664	SOUTH EAST DOUBLE ARROW
⇙	\u21D9	alt-08665	SOUTH WEST DOUBLE ARROW
Miscellaneous arrows and keyboard symbols

⇚	\u21DA	alt-08666	LEFTWARDS TRIPLE ARROW
⇛	\u21DB	alt-08667	RIGHTWARDS TRIPLE ARROW
⇜	\u21DC	alt-08668	LEFTWARDS SQUIGGLE ARROW
⇝	\u21DD	alt-08669	RIGHTWARDS SQUIGGLE ARROW
⇞	\u21DE	alt-08670	UPWARDS ARROW WITH DOUBLE STROKE = page up
⇟	\u21DF	alt-08671	DOWNWARDS ARROW WITH DOUBLE STROKE = page down
⇠	\u21E0	alt-08672	LEFTWARDS DASHED ARROW
⇡	\u21E1	alt-08673	UPWARDS DASHED ARROW
⇢	\u21E2	alt-08674	RIGHTWARDS DASHED ARROW
⇣	\u21E3	alt-08675	DOWNWARDS DASHED ARROW
⇤	\u21E4	alt-08676	LEFTWARDS ARROW TO BAR = leftward tab
⇥	\u21E5	alt-08677	RIGHTWARDS ARROW TO BAR = rightward tab
White arrows and keyboard symbols

⇦	\u21E6	alt-08678	LEFTWARDS WHITE ARROW
⇧	\u21E7	alt-08679	UPWARDS WHITE ARROW = shift = level 2 select ISO 9995-7
